Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HEXAWARE,EQ,23-Aug-18,491.05,493.2,500.9,491.45,496.75,496.7,496.52,948868,471130046.2,12675,264834,27.91
HEXAWARE,EQ,24-Aug-18,496.7,452,452.2,401.1,425.4,426.15,435.95,66105294,28818819313,339676,25218864,38.15
HEXAWARE,EQ,27-Aug-18,426.15,431.8,434.6,423.25,424.35,427.15,430.46,6684065,2877192625,74218,1934630,28.94
HEXAWARE,EQ,28-Aug-18,427.15,426.8,430,417,419.45,419.4,423.69,3184354,1349172902,48161,883688,27.75
HEXAWARE,EQ,29-Aug-18,419.4,420.95,434.4,413.65,430.15,431.55,426.35,7172011,3057802163,109299,2087425,29.11
HEXAWARE,EQ,30-Aug-18,431.55,433.6,434.95,425.45,432,432.8,430.96,3830412,1650759412,92271,1559355,40.71
HEXAWARE,EQ,31-Aug-18,432.8,434,445.1,432.9,438.05,438.8,439.44,4909045,2157214053,82100,2305290,46.96
HEXAWARE,EQ,03-Sep-18,438.8,441.8,445.75,428.3,432,429.95,439.83,2646510,1164024857,39264,1209471,45.7
HEXAWARE,EQ,04-Sep-18,429.95,433.4,436.3,423,427.3,426.65,431.15,1251761,539700161,21362,201527,16.1
HEXAWARE,EQ,05-Sep-18,426.65,429.7,445.15,428,440.25,439.65,439.66,4085795,1796362235,71796,1381911,33.82
HEXAWARE,EQ,06-Sep-18,439.65,442,446,435.1,443.7,443.35,441.61,1938200,855924691.7,30014,832096,42.93
HEXAWARE,EQ,07-Sep-18,443.35,446.3,446.75,440.2,441,441.85,443.1,1053219,466684532.8,24233,267728,25.42
HEXAWARE,EQ,10-Sep-18,441.85,440.8,462.75,440,455,455.7,456.84,5860888,2677504522,83734,1878704,32.05
HEXAWARE,EQ,11-Sep-18,455.7,461,471.85,451.2,452.8,454.1,462.61,5137136,2376493575,75635,930217,18.11
HEXAWARE,EQ,12-Sep-18,454.1,455.1,464.8,453.2,460.2,461,460.36,2520290,1160247936,70439,582676,23.12
HEXAWARE,EQ,14-Sep-18,461,464,470.5,455.25,467.7,467.65,464.28,1914984,889091494.9,28109,479120,25.02
HEXAWARE,EQ,17-Sep-18,467.65,467.5,475.35,462.35,467.8,465.4,469.95,1648729,774819783.1,26749,191397,11.61
HEXAWARE,EQ,18-Sep-18,465.4,468,468.45,460.8,463.6,463.4,464.2,636169,295307855.5,8318,131508,20.67
HEXAWARE,EQ,19-Sep-18,463.4,465,467.25,453.35,455.45,456.25,457.8,639655,292836425.3,10788,146863,22.96
HEXAWARE,EQ,21-Sep-18,456.25,453.8,460.9,429.85,445.1,444.45,449.62,1167604,524979138,18124,425757,36.46
HEXAWARE,EQ,24-Sep-18,444.45,443,454.7,438,448.9,450.5,446.77,979065,437412650.1,23874,246954,25.22
HEXAWARE,EQ,25-Sep-18,450.5,447,453.8,429.3,442.35,443.75,444.11,980155,435293248.9,17836,281592,28.73
HEXAWARE,EQ,26-Sep-18,443.75,444.05,447.9,418,436.9,435.85,431.7,1873072,808609177.1,27641,478327,25.54
HEXAWARE,EQ,27-Sep-18,435.85,438,440.9,431.05,435.65,435.5,436.09,1176478,513052326.5,22499,472910,40.2
HEXAWARE,EQ,28-Sep-18,435.5,438.7,443.9,421.45,425.5,428.85,431.94,1493449,645075724.5,35654,436137,29.2
HEXAWARE,EQ,01-Oct-18,428.85,425.05,434.1,408.45,430,431.55,424.51,1510528,641239934.6,26749,592216,39.21
HEXAWARE,EQ,03-Oct-18,431.55,435.9,459.4,430.05,431.15,433.9,437.99,2203202,964971243.9,46404,660099,29.96
HEXAWARE,EQ,04-Oct-18,433.9,431,431.8,405,405,408.9,417.09,1497192,624467620.3,32773,347773,23.23
HEXAWARE,EQ,05-Oct-18,408.9,399,413,391.15,405.75,408.95,404.02,1839671,743261681,38072,516418,28.07
HEXAWARE,EQ,08-Oct-18,408.95,408,414.95,395.5,404,406.55,407.2,889831,362341444.3,32079,193054,21.7
HEXAWARE,EQ,09-Oct-18,406.55,408.7,409.45,380,390,390.9,391.31,2144938,839329660.4,40456,443320,20.67
HEXAWARE,EQ,10-Oct-18,390.9,390.9,406.5,381.05,404.8,404.4,399.51,1201356,479959634.9,27043,284505,23.68
HEXAWARE,EQ,11-Oct-18,404.4,380,394.9,372.7,384.45,384.65,384.29,2443652,939065888.9,41748,637396,26.08
HEXAWARE,EQ,12-Oct-18,384.65,393.7,395.15,377.25,389.5,388.75,385.76,1474600,568840171.2,24207,183033,12.41
HEXAWARE,EQ,15-Oct-18,388.75,397.5,407.4,392.15,397.55,395.65,398.83,1530536,610430128.4,25598,167126,10.92
HEXAWARE,EQ,16-Oct-18,395.65,398.1,402,394.55,395.5,395.55,396.65,784155,311033481.9,21830,256266,32.68
HEXAWARE,EQ,17-Oct-18,395.55,401.7,403,391,391.75,394.7,395.97,659454,261125746.8,13082,136044,20.63
HEXAWARE,EQ,19-Oct-18,394.7,390.5,390.5,372.65,377.5,379,378.76,2135960,809024324.5,73244,587734,27.52
HEXAWARE,EQ,22-Oct-18,379,378,380.25,371.15,375.35,374.9,376.15,1172545,441055923.3,32226,302324,25.78
HEXAWARE,EQ,23-Oct-18,374.9,370,374,345.25,354.85,355.6,355.36,2674738,950484911.8,59256,513027,19.18
HEXAWARE,EQ,24-Oct-18,355.6,356.5,362,342,355,350.9,350.32,1861706,652195896.1,35746,387128,20.79
HEXAWARE,EQ,25-Oct-18,350.9,324,337.8,316.55,331.1,331.6,330.49,3863490,1276856593,88396,975049,25.24
HEXAWARE,EQ,26-Oct-18,331.6,334.6,334.6,316,322.9,321.2,322.8,2287761,738481026.6,39199,723907,31.64
HEXAWARE,EQ,29-Oct-18,321.2,323,324.55,308.3,314,313.05,312.14,1843569,575459105,33155,308798,16.75
HEXAWARE,EQ,30-Oct-18,313.05,314.05,327.95,314,325.05,324.95,321.96,1511224,486549874.2,38814,310273,20.53
HEXAWARE,EQ,31-Oct-18,324.95,327.7,340.9,324.1,334.55,335.4,333.73,1953165,651839395.4,30259,327685,16.78
HEXAWARE,EQ,01-Nov-18,335.4,336,338.25,319.15,321.4,320.7,324.68,2377735,772009940.1,60682,1016324,42.74
HEXAWARE,EQ,02-Nov-18,320.7,322.25,323.6,309.1,313,311.6,316.24,2685846,849369052.2,59655,1114380,41.49
HEXAWARE,EQ,05-Nov-18,311.6,310.05,320.75,308.5,314,313.05,314.69,1737038,546631152.3,30198,406749,23.42
HEXAWARE,EQ,06-Nov-18,313.05,315.1,319.6,309.75,310.8,312,314.19,1341546,421494352.7,19727,421149,31.39
HEXAWARE,EQ,07-Nov-18,312,315,316,310.25,312.35,312.4,313.09,272182,85216903.8,3192,66783,24.54
HEXAWARE,EQ,09-Nov-18,312.4,313,321.55,311.5,319.5,319.9,316.31,1232541,389866020.4,34724,376661,30.56
HEXAWARE,EQ,12-Nov-18,319.9,322,326.65,315.25,316.3,316.5,321.52,2536743,815615695.5,42778,1254618,49.46
HEXAWARE,EQ,13-Nov-18,316.5,316.95,320.25,312,315.2,315.7,315.6,1024700,323400290.9,15181,237081,23.14
HEXAWARE,EQ,14-Nov-18,315.7,316,321.75,310,318,318.15,316.3,1215078,384331448.7,23608,260124,21.41
HEXAWARE,EQ,15-Nov-18,318.15,320.2,324,313.45,314,315.5,317.43,979413,310897043.3,20262,303815,31.02
